Ign,Team,ACS,Matches,Rnd,K_D,KAST,ADR,KPR,APR,FKPR,FDPR,HSPercent,CLPercent,KMax,K,D,A,FK,FD,Kill_Participation
Lime,Angry Titans,1.0,19,394,0.9687499999999998,0.00733333333333333,1.0,0.9833333333333332,0.2083333333333333,0.9047619047619048,0.52,0.00631578947368421,0.002978723404255319,41,385,275,70,81,50,1.1548223350253808
keloqz,Team Heretics,1.0,5,118,0.9270833333333336,0.0056666666666666645,0.9760809567617296,1.0,0.0416666666666666,0.8571428571428572,0.56,0.0057894736842105275,0.007872340425531916,25,117,86,12,24,17,1.0932203389830508
kamo,NOM eSports,0.9612903225806452,23,501,0.7708333333333333,0.005999999999999997,0.975160993560258,0.9166666666666666,0.2291666666666666,0.7619047619047619,0.68,0.0057894736842105275,0.002978723404255319,32,469,389,94,92,84,1.12375249500998
DeepMans,Wave Esports,0.9419354838709678,20,424,1.0,0.006666666666666665,0.9530818767249312,0.9666666666666668,0.1458333333333333,0.7142857142857143,0.36,0.006842105263157895,0.004042553191489362,34,413,288,63,74,37,1.1226415094339623
JUGi,FOKUS,0.9225806451612902,14,296,0.9791666666666664,0.007000000000000002,0.862925482980681,0.8666666666666668,0.2499999999999999,1.0,0.6,0.003947368421052631,0.003191489361702128,34,270,192,60,67,44,1.114864864864865
marteen,Entropiq,0.9225806451612902,17,386,0.8229166666666665,0.00733333333333333,0.8840846366145356,0.9,0.1666666666666666,0.8571428571428572,0.44,0.004736842105263157,0.003617021276595745,37,359,284,62,77,43,1.0906735751295338
vakk,Team Vitality,0.9225806451612902,14,297,0.9166666666666669,0.006666666666666665,0.8997240110395588,0.8833333333333334,0.2083333333333333,0.7619047619047619,0.56,0.005,0.002340425531914894,29,272,202,53,54,41,1.0942760942760943
sociablEE,Fire Flux Esports,0.9161290322580644,23,478,0.7916666666666665,0.006666666666666665,0.9567617295308188,0.85,0.3125,0.7619047619047619,0.52,0.0044736842105263155,0.001702127659574468,32,432,350,109,85,62,1.1317991631799162
H1BER,KOI,0.9096774193548388,14,320,0.7604166666666665,0.006333333333333333,0.9052437902483904,0.8333333333333334,0.3125,1.0,0.8,0.0044736842105263155,0.00553191489361702,33,286,239,73,73,64,1.121875
szimpli,Gamerland Outlaws (ex),0.9032258064516128,15,340,0.78125,0.007000000000000002,0.9126034958601656,0.8833333333333334,0.2499999999999999,0.8095238095238095,0.44,0.0057894736842105275,0.001702127659574468,29,312,256,69,63,39,1.1205882352941177
DeadInk,Galakticos,0.8193548387096775,18,390,0.6458333333333334,0.0056666666666666645,0.8408463661453545,0.7333333333333333,0.2916666666666666,0.7619047619047619,0.68,0.003947368421052631,0.001276595744680851,24,325,297,84,69,67,1.0487179487179488
Masic,Surreal Esports,0.8193548387096775,24,528,0.8541666666666667,0.007000000000000002,0.8583256669733212,0.7999999999999999,0.1874999999999999,0.6666666666666666,0.4,0.005,0.002340425531914894,33,461,358,92,83,51,1.0473484848484849
russ,Giants Gaming,0.8064516129032259,12,265,0.6770833333333336,0.006333333333333333,0.828886844526219,0.7499999999999999,0.3541666666666666,0.7142857142857143,0.56,0.007631578947368421,0.0027659574468085106,28,223,199,65,46,37,1.0867924528301887
Alfajer,Surreal Esports,0.7935483870967742,24,528,0.90625,0.007000000000000002,0.8252069917203313,0.8333333333333334,0.2708333333333332,0.5714285714285715,0.48,0.007631578947368421,0.003829787234042552,34,468,350,109,73,63,1.0928030303030303
Muj,Futbolist,0.7806451612903226,3,67,0.84375,0.008333333333333335,0.7709291628334869,0.8166666666666668,0.5208333333333333,0.7619047619047619,0.4,0.004736842105263157,0.003617021276595745,24,59,46,22,12,7,1.208955223880597
qw1,Futbolist,0.7741935483870969,19,395,0.7499999999999998,0.005999999999999997,0.7644894204231831,0.7666666666666667,0.2083333333333333,0.8095238095238095,0.52,0.005263157894736842,0.0027659574468085106,25,336,283,72,74,50,1.0329113924050632
hype,Alliance,0.7677419354838709,23,483,0.90625,0.0056666666666666645,0.7828886844526219,0.7666666666666667,0.2291666666666666,0.4285714285714286,0.36,0.005,0.003191489361702128,28,409,306,94,55,42,1.041407867494824
Polvi,TENSTAR,0.7612903225806452,24,468,0.7187499999999999,0.005999999999999997,0.7782888684452622,0.7499999999999999,0.2291666666666666,0.7619047619047619,0.72,0.0044736842105263155,0.002340425531914894,28,392,337,89,83,85,1.0277777777777777
VPNCNP,Thunderbolts Gaming,0.7612903225806452,23,481,0.6979166666666666,0.007000000000000002,0.7856485740570378,0.7333333333333333,0.3125,0.4285714285714286,0.28,0.005,0.002553191489361702,24,400,351,112,55,36,1.0644490644490645
MiniBoo,Arctic Gaming,0.7548387096774193,12,275,0.6770833333333336,0.005,0.7276908923643055,0.7333333333333333,0.0833333333333332,1.0,0.76,0.0057894736842105275,0.00574468085106383,28,229,205,33,63,53,0.9527272727272728
Fit1nho,Giants Gaming,0.7483870967741936,12,265,0.7916666666666665,0.005999999999999997,0.7598896044158234,0.7333333333333333,0.1874999999999999,0.6666666666666666,0.48,0.005,0.001063829787234042,28,221,180,45,42,33,1.0037735849056604
Maru,Dsyre,0.7419354838709676,14,311,0.7916666666666665,0.006333333333333333,0.796688132474701,0.7499999999999999,0.1249999999999999,0.2857142857142857,0.28,0.007105263157894737,0.00425531914893617,30,260,212,44,25,21,0.977491961414791
siJk,H2O (ex),0.7419354838709676,9,190,0.5208333333333334,0.0029999999999999983,0.6862925482980682,0.7000000000000001,0.1249999999999999,0.8095238095238095,0.64,0.0028947368421052633,0.000851063829787234,28,153,157,27,37,31,0.9473684210526315
Filu,UCAM Tokiers,0.7419354838709676,14,308,0.6041666666666669,0.005,0.7166513339466423,0.7166666666666667,0.1666666666666666,0.8095238095238095,0.72,0.0057894736842105275,0.003404255319148936,24,253,242,49,59,55,0.9805194805194806
Luzuh,MOUZ,0.7354838709677419,19,417,0.8229166666666665,0.006666666666666665,0.6936522539098438,0.7666666666666667,0.1041666666666666,0.8095238095238095,0.64,0.003947368421052631,0.001702127659574468,38,353,280,53,80,67,0.973621103117506
yetujey,Fire Flux Esports,0.7225806451612903,2,44,0.8854166666666667,0.003666666666666667,0.7433302667893287,0.7499999999999999,0.2083333333333333,0.5714285714285715,0.28,0.005263157894736842,0.002127659574468084,19,37,28,8,6,3,1.0227272727272727
Yacine,Tundra Esports,0.7161290322580646,25,533,0.5833333333333334,0.0056666666666666645,0.7479300827966884,0.6333333333333334,0.3125,0.9523809523809524,0.76,0.004210526315789474,0.001276595744680851,23,410,399,122,115,99,0.99812382739212
vo0kashu,Rebels Gaming,0.7096774193548386,22,454,0.8541666666666667,0.008333333333333335,0.7819687212511501,0.65,0.3958333333333333,0.2380952380952381,0.32,0.004736842105263157,0.002127659574468084,33,355,276,123,34,35,1.052863436123348
xuss,Anonymo Esports,0.7032258064516129,28,595,0.6458333333333334,0.0056666666666666645,0.7258509659613617,0.7166666666666667,0.2499999999999999,0.5238095238095238,0.56,0.005263157894736842,0.001914893617021276,27,490,449,120,79,83,1.0252100840336134
Haxtrax,Gamerland Outlaws,0.7032258064516129,8,177,0.8958333333333333,0.00733333333333333,0.8086476540938365,0.7166666666666667,0.4166666666666666,0.2380952380952381,0.28,0.00631578947368421,0.003617021276595745,34,145,109,49,13,13,1.0960451977401129
juseu,Team BDS,0.7032258064516129,23,515,0.7916666666666665,0.005999999999999997,0.6899724011039561,0.7666666666666667,0.1041666666666666,0.7619047619047619,0.68,0.0057894736842105275,0.0065957446808510645,32,439,358,67,95,86,0.9825242718446602
elllement,EXCEL,0.7032258064516129,29,591,0.8125,0.006333333333333333,0.7617295308187675,0.7499999999999999,0.1666666666666666,0.7142857142857143,0.56,0.005526315789473685,0.004680851063829787,27,497,399,95,99,83,1.0016920473773265
Sacake,KOI,0.7032258064516129,14,320,0.6041666666666669,0.007000000000000002,0.7930082796688134,0.5833333333333334,0.7499999999999999,0.2857142857142857,0.36,0.004210526315789474,0.002553191489361702,21,236,224,142,27,28,1.18125
jannyXD,Rebels Gaming,0.7032258064516129,22,454,0.7604166666666665,0.007666666666666666,0.6862925482980682,0.7333333333333333,0.1458333333333333,0.7619047619047619,0.6,0.005263157894736842,0.004042553191489362,28,378,315,70,80,66,0.986784140969163
