Ign,Team,ACS,Matches,Rnd,K_D,KAST,ADR,KPR,APR,FKPR,FDPR,HSPercent,CLPercent,KMax,K,D,A,FK,FD,Kill_Participation
Lime,Angry Titans,1.0,19,394,0.9687499999999998,0.733333333333333,1.0,0.9833333333333333,0.2083333333333333,0.9047619047619048,0.52,0.631578947368421,0.29787234042553196,41,385,275,70,81,50,0.8216854716481826
keloqz,Team Heretics,1.0,5,118,0.9270833333333335,0.5666666666666664,0.9760809567617297,1.0,0.04166666666666666,0.8571428571428572,0.56,0.5789473684210528,0.7872340425531915,25,117,86,12,24,17,0.7323479797574103
kamo,NOM eSports,0.9612903225806452,23,501,0.7708333333333333,0.5999999999999996,0.9751609935602579,0.9166666666666666,0.2291666666666666,0.7619047619047619,0.68,0.5789473684210528,0.29787234042553196,32,469,389,94,92,84,0.7766268411045208
DeepMans,Wave Esports,0.9419354838709678,20,424,1.0,0.6666666666666665,0.9530818767249312,0.9666666666666667,0.1458333333333333,0.7142857142857143,0.36,0.6842105263157895,0.4042553191489362,34,413,288,63,74,37,0.7750156487525711
JUGi,FOKUS,0.9225806451612902,14,296,0.9791666666666665,0.7000000000000002,0.862925482980681,0.8666666666666668,0.24999999999999997,1.0,0.6,0.39473684210526316,0.3191489361702128,34,270,192,60,67,44,0.7637376713206098
marteen,Entropiq,0.9225806451612902,17,386,0.8229166666666665,0.733333333333333,0.8840846366145356,0.9,0.16666666666666666,0.8571428571428572,0.44,0.4736842105263157,0.3617021276595745,37,359,284,62,77,43,0.728654568671267
vakk,Team Vitality,0.9225806451612902,14,297,0.9166666666666667,0.6666666666666665,0.8997240110395588,0.8833333333333334,0.2083333333333333,0.7619047619047619,0.56,0.5,0.23404255319148942,29,272,202,53,54,41,0.7338790751113028
sociablEE,Fire Flux Esports,0.9161290322580645,23,478,0.7916666666666665,0.6666666666666665,0.9567617295308188,0.85,0.3125,0.7619047619047619,0.52,0.4473684210526315,0.17021276595744683,32,432,350,109,85,62,0.7882964167443337
H1BER,KOI,0.9096774193548388,14,320,0.7604166666666665,0.6333333333333333,0.9052437902483903,0.8333333333333334,0.3125,1.0,0.8,0.4473684210526315,0.553191489361702,33,286,239,73,73,64,0.7739040284360189
szimpli,Gamerland Outlaws (ex),0.9032258064516129,15,340,0.78125,0.7000000000000002,0.9126034958601656,0.8833333333333334,0.24999999999999997,0.8095238095238095,0.44,0.5789473684210528,0.17021276595744683,29,312,256,69,63,39,0.7720379146919433
DeadInk,Galakticos,0.8193548387096775,18,390,0.6458333333333334,0.5666666666666664,0.8408463661453545,0.7333333333333333,0.29166666666666663,0.7619047619047619,0.68,0.39473684210526316,0.12765957446808512,24,325,297,84,69,67,0.6678089682829021
Masic,Surreal Esports,0.8193548387096775,24,528,0.8541666666666667,0.7000000000000002,0.8583256669733212,0.7999999999999999,0.18749999999999997,0.6666666666666666,0.4,0.5,0.23404255319148942,33,461,358,92,83,51,0.6658229211546748
